,LinUCB,,,,"LinUCB+stdev,cluster","LinUCB+stdev,cluster+CBF"
0.9746,1.0539,0.03284,,,1.07744,1.08596
0.97494,1.05434,0.03284,,,1.07642,1.08705
0.97527,1.0525,0.03279,,,1.0765,1.0867
0.97559,1.05098,0.03286,,,1.07911,1.08653
0.97591,1.05231,0.03288,,,1.08232,1.08791
0.97622,1.05173,0.03296,,,1.08227,1.08925
0.97655,1.05477,0.0331,,,1.0852,1.08761
0.97688,1.05653,0.03314,,,1.08781,1.08766
0.97721,1.05565,0.0331,,,1.09028,1.08653
0.97753,1.05424,0.03307,,,1.0893,1.08535
0.97784,1.05401,0.03317,,,1.09034,1.08833
0.97816,1.0569,0.03326,,,1.08934,1.08997
0.97848,1.05735,0.03332,,,1.09109,1.0924
0.9788,1.05755,0.03335,,,1.09009,1.0943
0.97912,1.05752,0.03338,,,1.08911,1.09509
0.97943,1.0569,0.03336,,,1.08889,1.09778
0.97975,1.0579,0.03354,,,1.09063,1.09681
0.98006,1.05902,0.03356,,,1.09093,1.09665
0.98038,1.05952,0.03356,,,1.09031,1.0982
0.98069,1.05882,0.03366,,,1.0897,1.09977
0.981,1.06081,0.03378,,,1.09367,1.10079
0.98133,1.06394,0.0339,,,1.09903,1.1019
0.98165,1.06381,0.03387,,,1.10065,1.10419
0.98197,1.06264,0.03392,,,1.10212,1.10694
0.98228,1.06386,0.03401,,,1.10168,1.10702
0.9826,1.06464,0.03409,,,1.10088,1.10726
0.98291,1.06331,0.03408,,,1.10087,1.10841
0.98322,1.06307,0.03415,,,1.10136,1.10935
0.98353,1.06326,0.03416,,,1.09961,1.10812
0.98383,1.06397,0.03421,,,1.0999,1.10947
0.98413,1.0634,0.03416,,,1.09938,1.10893
0.98443,1.06237,0.03423,,,1.09872,1.10874
0.98473,1.06376,0.03425,,,1.10076,1.10866
0.98502,1.06213,0.03425,,,1.10186,1.10819
0.9853,1.06107,0.03428,,,1.09964,1.1099
0.98558,1.06128,0.03427,,,1.09959,1.11198
0.98586,1.06095,0.03438,,,1.09775,1.11513
0.98614,1.06259,0.03445,,,1.09946,1.11704
0.98643,1.06407,0.03458,,,1.09993,1.11897
0.98673,1.06747,0.03469,,,1.09969,1.11628
0.98703,1.06814,0.03476,,,1.09989,1.11744
0.98733,1.06982,0.03485,,,1.1004,1.11955
0.98763,1.07104,0.03489,,,1.10319,1.12088
0.98793,1.07082,0.03492,,,1.10548,1.12153
0.98823,1.07021,0.03493,,,1.10437,1.12263
0.98852,1.06961,0.03496,,,1.10434,1.12364
0.9888,1.06779,0.03495,,,1.10567,1.1222
0.98909,1.06892,0.03498,,,1.10576,1.12261
0.98937,1.06826,0.03504,,,1.1034,1.12238
0.98964,1.06808,0.03507,,,1.10276,1.12254
0.98992,1.06887,0.03514,,,1.10166,1.12091
0.99021,1.07163,0.03528,,,1.10327,1.12161
0.9905,1.0742,0.03533,,,1.10438,1.12173
0.99079,1.07291,0.03533,,,1.10301,1.1218
0.99107,1.07224,0.03535,,,1.10373,1.12129
0.99135,1.07042,0.03529,,,1.10348,1.11921
0.99161,1.06773,0.03525,,,1.10355,1.11801
0.99187,1.06758,0.03542,,,1.10509,1.11639
0.99214,1.06929,0.03541,,,1.10406,1.11616
0.9924,1.06785,0.03547,,,1.1044,1.11628
0.99266,1.07013,0.03559,,,1.10627,1.11754
0.99293,1.07223,0.03566,,,1.10778,1.12097
0.9932,1.07185,0.03567,,,1.11075,1.1219
0.99346,1.07061,0.03564,,,1.11236,1.12202
0.99371,1.06914,0.0357,,,1.1123,1.12163
0.99396,1.06927,0.03571,,,1.11285,1.11905
0.99421,1.06775,0.03579,,,1.11292,1.1183
0.99445,1.06733,0.03574,,,1.11158,1.11782
0.99469,1.06619,0.03576,,,1.11117,1.11796
0.99492,1.06501,0.03577,,,1.11328,1.11553
0.99516,1.0654,0.03581,,,1.11261,1.11359
0.99539,1.06533,0.03588,,,1.1102,1.11247
0.99562,1.06612,0.03592,,,1.10876,1.1142
0.99584,1.06564,0.03597,,,1.10865,1.11639
0.99608,1.06697,0.03602,,,1.10722,1.11849
0.9963,1.06691,0.03609,,,1.10797,1.11785
0.99654,1.06822,0.03612,,,1.10814,1.11894
0.99677,1.06904,0.03622,,,1.10831,1.11956
0.99701,1.07151,0.03632,,,1.10908,1.12066
0.99725,1.07105,0.03636,,,1.10883,1.11986
0.99748,1.07147,0.03641,,,1.10826,1.12003
0.99772,1.07233,0.03643,,,1.11139,1.12158
0.99796,1.07294,0.03651,,,1.11476,1.12302
0.9982,1.07354,0.03654,,,1.11488,1.12231
0.99843,1.07215,0.03652,,,1.11456,1.11981
0.99866,1.07346,0.03659,,,1.1151,1.11891
0.9989,1.07517,0.03671,,,1.11479,1.1195
0.99914,1.07642,0.03674,,,1.11344,1.11876
0.99939,1.0771,0.03684,,,1.11303,1.11932
0.99963,1.07859,0.03687,,,1.11301,1.1202
0.99988,1.07896,0.0369,,,1.11232,1.11989
1.00012,1.07737,0.03684,,,1.11171,1.11799
1.00035,1.07643,0.03684,,,1.11236,1.11684
1.00058,1.07673,0.03687,,,1.11308,1.11709
1.00081,1.07648,0.03689,,,1.11266,1.11656
1.00105,1.07716,0.03698,,,1.11286,1.11508
1.00128,1.07848,0.03702,,,1.1127,1.11653
1.00151,1.07783,0.03707,,,1.11371,1.11647
1.00175,1.08005,0.03714,,,1.11448,1.11738
1.00198,1.07904,0.03714,,,1.11407,1.11717
1.00221,1.07884,0.03719,,,1.11529,1.11917
1.00244,1.0796,0.03721,,,1.11565,1.11946
1.00267,1.07932,0.03723,,,1.11436,1.11895
1.0029,1.07836,0.03719,,,1.11495,1.11892
1.00311,1.07695,0.0372,,,1.11397,1.11733
1.00333,1.07735,0.03733,,,1.11338,1.11529
1.00356,1.07868,0.03732,,,1.11343,1.11412
1.00377,1.07809,0.03737,,,1.11508,1.11394
1.00399,1.07795,0.03741,,,1.11724,1.11476
1.00421,1.07792,0.03746,,,1.11813,1.11439
1.00442,1.0793,0.03751,,,1.12029,1.11427
1.00464,1.07997,0.03766,,,1.11966,1.11568
1.00486,1.08097,0.0376,,,1.12066,1.11507
1.00508,1.079,0.0376,,,1.12156,1.1146
1.00529,1.07775,0.0376,,,1.12224,1.1152
1.00549,1.07752,0.03765,,,1.12189,1.11576
1.0057,1.07813,0.03763,,,1.12234,1.11539
1.0059,1.07687,0.03765,,,1.12241,1.11636
1.00611,1.07845,0.03774,,,1.12223,1.1166
1.00632,1.0812,0.03789,,,1.12411,1.11631
1.00654,1.08441,0.038,,,1.12358,1.11711
1.00676,1.08481,0.03803,,,1.1238,1.1179
1.00698,1.08427,0.03802,,,1.12605,1.11831
