LinUCB,’ñˆÄŽè–@,,’ñˆÄŽè–@
1.03103,1.06283,0.03341,1.07283
1.03117,1.06338,0.03346,1.07338
1.03131,1.06534,0.03359,1.07534
1.03145,1.06826,0.03365,1.07826
1.03161,1.06886,0.03378,1.07886
1.03176,1.06911,0.03379,1.07911
1.0319,1.06802,0.03381,1.07802
1.03205,1.06944,0.03391,1.07944
1.03221,1.07148,0.03399,1.08148
1.03236,1.07178,0.03409,1.08178
1.03253,1.07382,0.03414,1.08382
1.03269,1.07454,0.03424,1.08454
1.03286,1.0758,0.0343,1.0858
1.03303,1.07755,0.03438,1.08755
1.0332,1.07603,0.03437,1.08603
1.03336,1.07543,0.03442,1.08543
1.03353,1.07691,0.03453,1.08691
1.0337,1.0766,0.03456,1.0866
1.03386,1.07647,0.03459,1.08647
1.03402,1.07653,0.03462,1.08653
1.03418,1.0758,0.03456,1.0858
1.03433,1.07445,0.03459,1.08445
1.03449,1.07513,0.03462,1.08513
1.03464,1.07559,0.03475,1.08559
1.0348,1.0765,0.03476,1.0865
1.03495,1.07584,0.03474,1.08584
1.0351,1.07614,0.03485,1.08614
1.03526,1.07852,0.03501,1.08852
1.03543,1.08063,0.03509,1.09063
1.0356,1.08132,0.03514,1.09132
1.03577,1.08286,0.03527,1.09286
1.03594,1.08411,0.03528,1.09411
1.03612,1.08327,0.03529,1.09327
1.03628,1.08256,0.0353,1.09256
1.03645,1.08163,0.0353,1.09163
1.03661,1.08101,0.03539,1.09101
1.03677,1.08286,0.03544,1.09286
1.03693,1.08263,0.03544,1.09263
1.03709,1.08221,0.0355,1.09221
1.03725,1.08217,0.03554,1.09217
1.03742,1.08319,0.03559,1.09319
1.03758,1.08317,0.03564,1.09317
1.03774,1.08567,0.03574,1.09567
1.03791,1.0852,0.03575,1.0952
1.03807,1.08486,0.03576,1.09486
1.03823,1.08422,0.03575,1.09422
1.03838,1.08238,0.03575,1.09238
1.03853,1.08162,0.0358,1.09162
1.03868,1.07987,0.03577,1.08987
1.03882,1.07979,0.03588,1.08979
1.03896,1.08085,0.0359,1.09085
1.0391,1.07929,0.03586,1.08929
1.03923,1.07938,0.036,1.08938
1.03937,1.08087,0.03602,1.09087
1.03951,1.08145,0.03614,1.09145
1.03966,1.08398,0.03623,1.09398
1.03981,1.08377,0.03634,1.09377
1.03996,1.08558,0.03637,1.09558
1.04011,1.08576,0.03644,1.09576
1.04026,1.08622,0.03648,1.09622
1.04042,1.08645,0.0365,1.09645
